# Sheet: Sheet1
Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Assistance_Type_Normalized,Category
KRISTINE-LEON,2024,13,Dinagat Islands,BASILISA,548,1746,19,,,,0,32,32,548,391820,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Agusan Del Norte,CABADBARAN,127,450,4,,,,4,6,10,,,,
KRISTINE-LEON,2024,13,Dinagat Islands,CAGDIANAO,5171,17687,14,,,,0,3,3,2100,1501500,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Surigao Del Norte,CLAVER,1131,5655,14,,,,0,2,2,1131,1297754.64,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Dinagat Islands,DINAGAT,64,183,7,,,,3,128,131,63,68544,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Dinagat Islands,LIBJO,5668,20346,16,,,,,,,5668,4052620,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Dinagat Islands,LORETO,42,113,4,,,,,,,42,46536,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Surigao Del Sur,MADRID,1,1,1,,,,1,0,1,3,1560,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Surigao Del Norte,MAINIT,21,92,1,,,,,,,,,,
KRISTINE-LEON,2024,13,Surigao Del Norte,MALIMONO,208,688,7,,,,,,,208,230464,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Surigao Del Norte,PLACER,338,1060,7,,,,0,2,2,,,,
KRISTINE-LEON,2024,13,Surigao Del Norte,SAN BENITO,530,2681,5,,,,,,,530,587240,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Surigao Del Norte,SAN FRANCISCO,304,1110,9,,,,,,,322,389743,"['KIT', 'PACK']",['OTHERS']
KRISTINE-LEON,2024,13,Dinagat Islands,SAN JOSE,407,1205,9,,,,,,,814,582010,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Surigao Del Norte,SISON,71,302,7,,,,0,10,10,74,83986.5,"['KIT', 'PACK']",['OTHERS']
KRISTINE-LEON,2024,13,Surigao Del Norte,SURIGAO CITY,365,1300,18,,,,15,0,15,331,375227.6,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Dinagat Islands,TUBAJON,714,2404,9,,,,,,,714,791112,['PACK'],['OTHERS']
KRISTINE-LEON,2024,13,Agusan Del Norte,TUBLAY,253,1201,3,,,,,,,253,280324,['PACK'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Norte,ADAMS,1,4,1,,,,,,,0,500,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Ilocos Norte,ADAMS,153,766,1,,,,0,1,1,,,,
