Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Type,Category
AGATON,2022,8,LEYTE,ABUYOG,18957,68354,63,55,0,0,142,326,468,22690,13172269.32,"['BLANKET', 'BUTANE GAS STOVE', 'CANISTER', 'FAMILY FOOD PACK', 'FAMILY KIT', 'HYGIENE KIT', 'KITCHEN KIT', 'SLEEPING KIT']","['FAMILY FOOD PACK', 'HYGIENE KIT', 'KITCHEN KIT', 'OTHERS', 'SLEEPING KIT']"
AGATON,2022,6,ILOILO,AJUY,17414,61983,34,1,0,0,236,856,1092,4800,2948690,"['FAMILY FOOD PACK', 'FINANCIAL', 'HYGIENE KIT', 'SLEEPING KIT']","['FAMILY FOOD PACK', 'FINANCIAL / SOCIAL ASSISTANCE', 'HYGIENE KIT', 'SLEEPING KIT']"
AGATON,2022,8,LEYTE,ALANGALANG,1323,5444,4,,,,,,,228,46740,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,8,LEYTE,ALBUERA,203,1008,0,,,,5,0,5,,,,
AGATON,2022,6,ILOILO,ALIMODIAN,0,0,0,,,,,,,,,,
AGATON,2022,8,BILIRAN,ALMERIA,125,488,11,,,,,,,,,,
AGATON,2022,6,AKLAN,ALTAVAS,995,3833,12,,,,,,,0,27986,['FINANCIAL'],['FINANCIAL / SOCIAL ASSISTANCE']
AGATON,2022,Barmm,MAGUINDANAO,AMPATUAN,2439,0,7,,,,,,,150,0,['RICE'],['FAMILY FOOD PACK']
AGATON,2022,6,ILOILO,ANILAO,8358,33008,21,,,,,,,,,,
AGATON,2022,6,ANTIQUE,ANINI Y,0,0,0,,,,,,,,,,
AGATON,2022,8,EASTERN SAMAR,ARTECHE,1193,4900,10,,,,,,,1193,745625,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,7,CEBU,ASTURIAS,258,1055,6,,,,,,,,,,
AGATON,2022,11,DAVAO DEL NORTE,ASUNCION,9110,21761,9,,,,,,,7307,4227099.5,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,8,LEYTE,BABATNGON,329,329,5,,,,,,,,,,
AGATON,2022,6,NEGROS OCCIDENTAL,BACOLOD CITY,0,0,0,,,,,,,,,,
AGATON,2022,6,ILOILO,BADIANGAN,0,0,0,,,,,,,,,,
AGATON,2022,11,DAVAO ORIENTAL,BAGANGA,27,119,1,,,,,,,,,,
AGATON,2022,6,NEGROS OCCIDENTAL,BAGO CITY,0,0,0,,,,,,,,,,
AGATON,2022,7,CEBU,BALAMBAN,42,192,2,,,,,,,,,,
AGATON,2022,8,EASTERN SAMAR,BALANGIGA,4336,21680,1,,,,,,,,,,
AGATON,2022,6,ILOILO,BALASAN,11020,38497,23,,,,1,0,1,2600,1486000,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,6,AKLAN,BALETE,235,656,2,,,,,,,,,,
AGATON,2022,6,ILOILO,BANATE,10406,38222,18,,,,,,,3337,2451182,"['FAMILY FOOD PACK', 'FINANCIAL', 'MODULAR TENT']","['FAMILY FOOD PACK', 'FINANCIAL / SOCIAL ASSISTANCE', 'SHELTER KIT']"
AGATON,2022,6,AKLAN,BANGAR,748,2853,19,,,,1,2,3,,,,
