city_municipality_,province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,region_first,recurrence_rate,cost_per_family
3RD DISTRICT,BATAAN,3,0.0,0.0,0.0,0.0,7963251.5,1.0,0.0,0.0,0.0,0.0,1,3,1.0,7963251.5
3RD DISTRICT,BULACAN,3,0.0,0.0,0.0,0.0,3079040.0,1.0,0.0,0.0,0.0,0.0,1,3,1.0,3079040.0
ABORLAN,PALAWAN,4B,19360.0,0.0,0.0,0.0,1598114.8399999999,1.0,0.0,0.0,0.0,0.3333333333333333,3,4B,0.6,388.74114327414253
ABRA DE ILOG,OCCIDENTAL MINDORO,4B,23997.0,0.0,0.0,0.0,3533534.3,0.4,0.0,0.0,0.0,0.0,5,4B,1.25,590.2011524970769
ABRA DE ILOG,OCCIDENTAL MINDORO,S,0.0,0.0,0.0,0.0,49920.0,1.0,0.0,0.0,0.0,0.0,1,S,1.0,49920.0
ABUCAY,ABRA,Car,22475.0,0.0,0.0,0.0,5684279.6,0.6666666666666666,0.0,0.0,0.0,0.0,3,Car,1.5,785.1214917127071
ABUCAY,BATAAN,3,89988.0,0.0,0.0,0.0,3753806.82,0.25,0.0,0.0,0.0,0.0,4,3,0.6666666666666666,119.50612269587087
ABULUG,CAGAYAN,2,35930.0,0.0,0.0,0.0,2554926.71,0.6,0.0,0.3,0.1,0.1,10,2,1.6666666666666667,230.56824384080858
ABUYOG,LEYTE,8,126614.0,55.0,0.0,0.0,16014714.84,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,3,8,1.5,505.29169054079637
ADAMS,ILOCOS NORTE,1,10472.0,0.0,0.0,0.0,3192416.9,0.5,0.0,0.16666666666666666,0.0,0.0,6,1,1.5,837.0259307813319
AGDANGAN,QUEZON,4A,8605.0,0.0,0.0,0.0,160800.0,0.14285714285714285,0.0,0.0,0.0,0.0,7,4A,1.4,67.99154334038055
AGLIPAY,QUIRINO,2,43113.0,0.0,0.0,0.0,393160.94999999995,0.6666666666666666,0.0,0.0,0.0,0.0,6,2,1.2,36.3667514568495
AGNO,PANGASINAN,1,43450.0,0.0,0.0,0.0,4655520.0,0.25,0.0,0.0,0.0,0.0,4,1,1.3333333333333333,525.4537246049662
AGONCILLO,BATANGAS,4A,3176.0,4.0,0.0,0.0,598337.0,0.0,0.125,0.0,0.0,0.0,8,4A,1.3333333333333333,683.8137142857142
AGOO,LA UNION,1,30181.0,0.0,0.0,0.0,4103337.0,0.16666666666666666,0.0,0.0,0.0,0.0,6,1,1.2,294.61064043653073
AGUILAR,PANGASINAN,1,104624.0,0.0,0.0,0.0,8453550.54,0.25,0.0,0.0,0.0,0.0,4,1,1.3333333333333333,389.6902475452911
AGUINALDO,IFUGAO,Car,832.0,0.0,0.0,0.0,115682.33,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,3,Car,0.75,448.38112403100774
AGUTAYA,PALAWAN,4B,19271.0,0.0,0.0,0.0,1590415.0,0.5,0.0,0.0,0.0,0.0,4,4B,0.8,411.06616696820885
AJUY,ILOILO,6,157682.0,2.0,0.0,0.0,6326972.76,0.6,0.4,0.2,0.2,0.0,5,6,1.0,141.8476540220608
AKBAR,BASILAN,Barmm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Barmm,1.0,0.0
AL BARKA,BASILAN,Barmm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Barmm,1.0,0.0
ALABAT,QUEZON,4A,19028.0,0.0,0.0,0.0,3026176.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,9,4A,1.5,636.5536390408078
ALABEL,SARANGANI,12,455.0,0.0,0.0,0.0,273000.0,0.0,1.0,0.0,0.0,0.0,1,12,1.0,2935.483870967742
ALAMADA,COTABATO,12,1610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12,1.0,0.0
