city_municipality_,province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,recurrence_rate,cost_per_family
ABORLAN,PALAWAN,4B,19360.0,0.0,0.0,0.0,39.0,75.0,1598114.8399999999,1.0,0.0,0.0,0.0,0.3333333333333333,5,1.0,388.83572749391726
ABRA DE ILOG,OCCIDENTAL MINDORO,4B,26142.0,0.0,0.0,0.0,44.0,154.0,3905094.3,0.5,0.0,0.0,0.125,0.0,15,3.0,602.7310233060657
ABUCAY,ABRA,CAR,23141.0,0.0,0.0,0.0,0.0,4.0,5692829.6,0.4,0.2,0.0,0.0,0.0,13,4.333333333333333,767.5380342456518
ABUCAY,BATAAN,3,90540.0,0.0,1.0,0.0,1.0,0.0,3828511.82,0.16666666666666666,0.0,0.0,0.0,0.0,14,2.3333333333333335,121.28209269173503
ABULUG,CAGAYAN,2,35982.0,0.0,0.0,0.0,45.0,1080.0,2621472.79,0.6363636363636364,0.0,0.36363636363636365,0.18181818181818182,0.09090909090909091,17,2.8333333333333335,236.12617456314177
ABUYOG,LEYTE,8,126614.0,55.0,0.0,0.0,637.0,11454.0,16014714.84,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,3,1.5,505.3076338623671
ADAMS,ILOCOS NORTE,1,11242.0,0.0,0.0,0.0,2.0,241.0,3192916.9,0.375,0.0,0.125,0.0,0.0,17,4.25,804.8693975296194
AGDANGAN,QUEZON,4A,9457.0,0.0,0.0,0.0,17.0,322.0,179602.14,0.0,0.0,0.0,0.0,0.0,11,2.2,68.7867253925699
AGLIPAY,QUIRINO,2,43453.0,0.0,0.0,0.0,11.0,379.0,514656.39999999997,0.7142857142857143,0.0,0.0,0.14285714285714285,0.14285714285714285,9,1.8,47.13402326220349
AGNO,PANGASINAN,1,66866.0,0.0,0.0,0.0,951.0,9566.0,6669395.79,0.4,0.0,0.0,0.2,0.0,12,4.0,447.2802488096037
AGONCILLO,BATANGAS,4A,40100.0,4.0,0.0,0.0,1651.0,2652.0,5934724.25,0.0,0.125,0.0,0.0,0.0,13,2.1666666666666665,612.332258563764
AGOO,LA UNION,1,32851.0,0.0,0.0,0.0,10.0,339.0,4119337.0,0.125,0.0,0.0,0.0,0.0,15,3.0,282.03046693139805
AGUILAR,PANGASINAN,1,104646.0,0.0,0.0,0.0,3.0,18.0,8623872.54,0.2,0.0,0.0,0.0,0.0,10,3.3333333333333335,397.5050721364369
AGUINALDO,IFUGAO,CAR,861.0,0.0,0.0,0.0,3.0,32.0,152167.83000000002,0.75,0.25,0.25,0.25,0.0,9,2.25,561.5049077490776
AGUTAYA,PALAWAN,4B,19369.0,0.0,0.0,0.0,6.0,236.0,1590415.0,0.4,0.0,0.0,0.0,0.0,11,2.2,408.7419686455924
AJUY,ILOILO,6,184889.0,2.0,0.0,0.0,278.0,4023.0,6965972.76,0.8,0.4,0.2,0.2,0.0,8,1.6,135.47468367723994
ALABAT,QUEZON,4A,19997.0,0.0,0.0,0.0,0.0,66.0,1950305.0,0.0,0.125,0.0,0.0,0.0,13,2.1666666666666665,385.0552813425469
ALABEL,SARANGANI,12,455.0,0.0,0.0,0.0,19.0,18.0,273000.0,0.0,1.0,0.0,0.0,0.0,1,1.0,2967.391304347826
ALAMADA,COTABATO,12,1610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.6666666666666667,0.0
ALAMINOS,LAGUNA,4A,13617.0,0.0,0.0,0.0,1.0,360.0,1052400.0,0.0,0.0,0.0,0.0,0.0,11,1.8333333333333333,289.59823885525594
ALAMINOS,PANGASINAN,1,134156.0,0.0,0.0,0.0,1543.0,9562.0,11957759.870000001,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,18,3.6,329.02511817956696
ALANGALANG,LEYTE,8,27334.0,0.0,0.0,0.0,2.0,60.0,46740.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,1.5,6.970917225950783
ALBUERA,LEYTE,8,10515.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.3333333333333333,0.0
ALBURQUERQUE,BOHOL,7,11985.0,0.0,0.0,0.0,244.0,1122.0,1505730.0,1.0,0.0,0.0,0.0,0.0,1,1.0,474.69419924337956
ALCALA,CAGAYAN,2,17085.0,0.0,0.0,0.0,5.0,50.0,2585099.2199999997,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.0,13,3.25,510.6873212169103
ALCALA,PANGASINAN,1,18586.0,0.0,0.0,0.0,2.0,2.0,2254782.13,0.2,0.0,0.0,0.0,0.0,11,3.6666666666666665,573.8819368796131
ALCANTARA,CEBU,7,16391.0,0.0,0.0,0.0,903.0,3010.0,1060000.0,1.0,0.0,0.0,0.0,0.0,1,1.0,208.25147347740668
ALCANTARA,ROMBLON,4B,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.2,0.0
ALCOY,CEBU,7,16044.0,13.0,0.0,0.0,357.0,2587.0,1810000.0,1.0,0.0,0.0,0.0,0.0,1,1.0,330.2919708029197
ALEGRIA,CEBU,7,26511.0,0.0,0.0,0.0,2360.0,4827.0,4851000.0,1.0,0.0,0.0,0.0,0.0,1,1.0,674.9686934743287
ALEGRIA,SURIGAO DEL NORTE,CARAGA,32530.0,0.0,0.0,0.0,490.0,3006.0,2951002.79,0.0,0.0,0.0,0.0,0.0,2,0.6666666666666666,453.44234634296254
ALEOSAN,COTABATO,12,3325.0,0.0,0.0,0.0,0.0,0.0,489060.0,0.5,0.0,0.0,0.0,0.0,2,0.5,683.0446927374302
ALFONSO,CAVITE,4A,4765.0,0.0,0.0,0.0,5.0,298.0,651599.0,0.0,0.0,0.0,0.0,0.0,9,1.8,574.6022927689594
ALFONSO CASTAÑEDA,NUEVA VIZCAYA,2,5168.0,0.0,0.0,0.0,18.0,94.0,140758.0,0.3,0.0,0.0,0.0,0.0,20,3.3333333333333335,94.40509725016767
ALFONSO LISTA,IFUGAO,CAR,1488.0,0.0,0.0,0.0,12.0,47.0,201175.09,0.6,0.0,0.2,0.2,0.0,10,2.0,456.1793424036281
ALIAGA,NUEVA ECIJA,3,8388.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.0,0.0
ALICIA,BOHOL,7,22500.0,4.0,0.0,0.0,1334.0,4972.0,3249000.0,1.0,0.0,0.0,0.0,0.0,1,1.0,433.2
ALICIA,ISABELA,2,34938.0,0.0,0.0,0.0,0.0,0.0,5271813.64,1.0,0.25,0.5,0.5,0.25,7,2.3333333333333335,589.490511014201
ALILEM,ILOCOS SUR,1,3617.0,0.0,0.0,0.0,3.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.4,0.0
ALIMODIAN,ILOILO,6,4502.0,0.0,0.0,0.0,47.0,427.0,19782.0,0.25,0.0,0.0,0.0,0.0,6,1.0,21.572519083969464
ALITAGTAG,BATANGAS,4A,5027.0,0.0,0.0,0.0,8.0,666.0,459196.16,0.0,0.0,0.0,0.0,0.0,14,2.3333333333333335,379.1875805119736
ALLACAPAN,CAGAYAN,2,21533.0,0.0,1.0,0.0,33.0,1038.0,1971452.9300000002,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,18,3.0,323.9324564574433
ALLEN,NORTHERN SAMAR,8,32885.0,0.0,7.0,0.0,170.0,1567.0,4263086.0,0.25,0.0,0.0,0.0,0.0,5,1.0,471.26752155648904
ALMAGRO,SAMAR,8,13905.0,0.0,0.0,0.0,0.0,0.0,1464000.0,0.3333333333333333,0.0,0.0,0.0,0.0,4,1.0,424.96371552975324
ALMERIA,BILIRAN,8,2331.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.0,0.0
ALOGUINSAN,CEBU,7,9111.0,0.0,0.0,0.0,2812.0,5906.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0
ALORAN,MISAMIS OCCIDENTAL,10,267.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
ALTAVAS,AKLAN,6,11457.0,0.0,0.0,0.0,1.0,46.0,746786.0,0.5,0.75,0.0,0.0,0.0,7,1.75,238.05737966209753
ALUBIJID,MISAMIS ORIENTAL,10,1228.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6666666666666666,0.0
AMADEO,CAVITE,4A,4409.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.5,0.0
AMBAGUIO,NUEVA VIZCAYA,2,2762.0,0.0,0.0,0.0,29.0,489.0,249396.18,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,18,3.0,285.6771821305842
AMLAN,NEGROS ORIENTAL,7,26431.0,0.0,0.0,0.0,110.0,2275.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0
AMPATUAN,MAGUINDANAO,BARMM,48965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5,1.6666666666666667,0.0
AMPATUAN,MAGUINDANAO DEL SUR,BARMM,20580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
AMULUNG,CAGAYAN,2,37996.0,1.0,0.0,0.0,3.0,9.0,6445441.79,0.5,0.16666666666666666,0.0,0.0,0.0,10,2.5,524.1474985768887
ANAHAWAN,SOUTHERN LEYTE,8,12626.0,0.0,0.0,0.0,409.0,1508.0,4005728.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,1.0,1584.5443037974683
ANAO,TARLAC,3,1932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.5,0.0
ANDA,BOHOL,7,16734.0,0.0,0.0,0.0,341.0,3516.0,2353200.0,1.0,0.0,0.0,0.0,0.0,1,1.0,427.2331154684096
ANDA,PANGASINAN,1,46793.0,0.0,0.0,0.0,853.0,6679.0,7367730.85,0.5,0.0,0.0,0.0,0.0,10,3.3333333333333335,604.4077809680065
ANGADANAN,ISABELA,2,20690.0,0.0,0.0,0.0,58.0,1229.0,425787.88,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,6,2.0,69.23380162601626
ANGAT,BULACAN,3,10213.0,0.0,0.0,0.0,0.0,0.0,85088.0,0.0,0.0,0.0,0.0,0.0,17,2.8333333333333335,36.33134073441503
ANGELES,PAMPANGA,3,1295.0,2.0,1.0,0.0,0.0,1.0,313292.0,0.0,0.0,0.2,0.2,0.0,8,1.3333333333333333,910.7325581395348
ANGONO,RIZAL,4A,10939.0,0.0,0.0,0.0,0.0,0.0,1168544.0,0.0,0.0,0.0,0.0,0.0,9,1.5,424.4620414093716
ANILAO,ILOILO,6,74837.0,0.0,0.0,0.0,10.0,9381.0,1360857.0,0.6666666666666666,0.0,0.0,0.0,0.0,11,2.2,68.51215828424709
ANINI Y,ANTIQUE,6,21534.0,0.0,0.0,0.0,777.0,2360.0,1845940.4,0.5555555555555556,0.2222222222222222,0.0,0.2222222222222222,0.0,18,3.6,312.9242922529242
ANTEQUERA,BOHOL,7,15217.0,3.0,0.0,0.0,726.0,3035.0,1451140.0,1.0,0.0,0.0,0.0,0.0,1,1.0,323.0498664292075
ANTIPOLO,RIZAL,4A,100229.0,2.0,0.0,0.0,38.0,33.0,19234224.630000003,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,13,2.1666666666666665,786.3220894485099
APALIT,PAMPANGA,3,205836.0,0.0,0.0,0.0,1.0,8.0,2934882.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,20,3.3333333333333335,52.660625852293116
APARRI,CAGAYAN,2,276664.0,0.0,0.0,0.0,597.0,12985.0,27704743.54,0.7333333333333333,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,24,4.8,362.30980082911583
ARACELI,PALAWAN,4B,17662.0,0.0,0.0,0.0,1054.0,3010.0,24735913.04,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,4,1.0,5839.4506704438145
ARAKAN,COTABATO,12,735.0,0.0,0.0,0.0,0.0,10.0,104370.0,1.0,0.0,0.0,0.0,0.0,2,2.0,710.0
ARAYAT,PAMPANGA,3,69342.0,0.0,0.0,0.0,0.0,2.0,1169610.0,0.1,0.0,0.0,0.0,0.0,17,2.8333333333333335,67.3854928847151
ARGAO,CEBU,7,75777.0,0.0,0.0,0.0,3499.0,14504.0,9540000.0,0.5,0.0,0.0,0.0,0.0,3,0.75,400.2853186757857
ARINGAY,LA UNION,1,43318.0,0.0,0.0,0.0,19.0,615.0,3413255.9,0.14285714285714285,0.0,0.0,0.0,0.0,14,2.8,291.98082976903333
ARITAO,NUEVA VIZCAYA,2,3191.0,2.0,1.0,1.0,8.0,11.0,50673.69,0.3333333333333333,0.0,0.0,0.0,0.0,14,2.3333333333333335,57.38809739524349
AROROY,MASBATE,5,20718.0,0.0,0.0,0.0,0.0,1.0,565330.6,0.125,0.0,0.0,0.0,0.0,14,2.3333333333333335,118.71705165896681
ARTECHE,EASTERN SAMAR,8,105760.0,0.0,56.0,0.0,1416.0,2654.0,5952451.62,0.5714285714285714,0.0,0.0,0.0,0.0,10,2.0,207.42417744015054
ASINGAN,PANGASINAN,1,9250.0,0.0,0.0,0.0,0.0,4.0,50200.0,0.0,0.0,0.0,0.0,0.0,7,1.75,22.027204914436155
ASIPULO,IFUGAO,CAR,2156.0,2.0,0.0,0.0,2.0,6.0,348405.1,0.5,0.5,0.0,0.0,0.0,12,2.0,561.038808373591
ASTURIAS,CEBU,7,23910.0,0.0,0.0,0.0,400.0,6264.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,1.5,0.0
ASUNCION,DAVAO DEL NORTE,11,21817.0,0.0,0.0,0.0,2.0,12.0,4227099.5,0.5,0.0,0.0,0.0,0.0,3,1.5,463.29455282770715
ATIMONAN,QUEZON,4A,14836.0,0.0,0.0,0.0,21.0,760.0,415200.0,0.0,0.14285714285714285,0.0,0.0,0.0,10,2.0,92.16426193118757
ATOK,BENGUET,CAR,63345.0,0.0,0.0,0.0,2.0,17.0,4638835.12,0.375,0.0,0.0,0.0,0.0,14,2.8,301.98783412538245
AURORA,ISABELA,2,6019.0,0.0,0.0,0.0,0.0,0.0,2199519.7,0.375,0.0,0.125,0.125,0.0,15,3.0,1368.7116988176729
AYUNGON,NEGROS ORIENTAL,7,37077.0,0.0,2.0,0.0,1014.0,4730.0,4145000.0,0.3333333333333333,0.0,0.0,0.0,0.0,7,1.75,558.9266450916937
BAAO,CAMARINES SUR,5,151278.0,0.0,0.0,0.0,154.0,1142.0,2595905.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,17,3.4,73.49882499504515
BABATNGON,LEYTE,8,377.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0
BACACAY,ALBAY,5,84890.0,0.0,1.0,0.0,945.0,7073.0,907560.0,0.14285714285714285,0.0,0.0,0.0,0.0,10,2.0,39.45913043478261
BACARRA,ILOCOS NORTE,1,31595.0,1.0,0.0,0.0,38.0,989.0,824661.19,0.125,0.0,0.0,0.0,0.0,15,3.0,122.84540294950096
BACLAYON,BOHOL,7,22004.0,0.0,0.0,0.0,235.0,2667.0,1472870.0,1.0,0.0,0.0,0.0,0.0,1,1.0,263.0125
BACNOTAN,LA UNION,1,44579.0,0.0,0.0,0.0,359.0,6873.0,9369732.3,0.375,0.0,0.0,0.0,0.0,15,3.0,573.4581247322358
BACO,ORIENTAL MINDORO,4B,173829.0,0.0,2.0,0.0,96.0,1960.0,5583720.029999999,0.5555555555555556,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,13,2.1666666666666665,142.72218464841652
BACOLOD CITY,LANAO DEL NORTE,10,321.0,0.0,0.0,0.0,9.0,61.0,16200.0,0.25,0.0,0.0,0.0,0.0,10,2.0,192.85714285714286
BACOLOD CITY,NEGROS OCCIDENTAL,6,262692.0,1.0,0.0,0.0,908.0,8977.0,12181220.0,0.75,0.125,0.0,0.0,0.0,17,3.4,209.8726762116435
BACOLOD KALAWI,LANAO DEL SUR,BARMM,50.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
BACOLOR,PAMPANGA,3,33767.0,0.0,0.0,0.0,0.0,0.0,2371334.5,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,11,2.75,310.38409685863877
BACONG,NEGROS ORIENTAL,7,2093.0,1.0,1.0,0.0,58.0,734.0,397500.0,1.0,0.0,0.0,0.0,0.0,1,1.0,501.8939393939394
BACOOR,CAVITE,4A,131453.0,0.0,0.0,0.0,0.0,0.0,8883000.0,0.5,0.0,0.0,0.0,0.0,3,0.75,281.3479872042568
BACOOR,PAMPANGA,3,299.0,0.0,0.0,0.0,0.0,0.0,31950.0,0.0,1.0,0.0,0.0,0.0,3,3.0,450.0
BACOOR CITY,CAVITE,4A,359545.0,0.0,0.0,0.0,1.0,0.0,51451284.64,0.0,0.0,0.0,0.0,0.0,8,1.3333333333333333,599.8121293090384
