province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,recurrence_rate,cost_per_family
ABRA,CAR,665436.0,2.0,115.0,0.0,58.0,888.0,29463089.14,0.3096446700507614,0.233502538071066,0.04060913705583756,0.02030456852791878,0.02030456852791878,29,5.8,154.25701120418847
AGUSAN DEL NORTE,13,1651.0,0.0,0.0,0.0,4.0,6.0,280324.0,0.0,0.0,0.0,0.0,0.0,2,2.0,737.6947368421053
AGUSAN DEL NORTE,CARAGA,187974.0,0.0,0.0,0.0,2872.0,9370.0,20049094.82,0.043478260869565216,0.0,0.0,0.0,0.0,7,1.4,448.8770809358558
AGUSAN DEL SUR,CARAGA,221391.0,0.0,0.0,0.0,167.0,707.0,6707484.86,0.0967741935483871,0.0,0.0,0.0,0.0,5,1.25,120.37408671619828
AKLAN,6,637351.0,8.0,2.0,1.0,273.0,9530.0,66326300.0,0.51,0.35,0.01,0.03,0.0,22,4.4,388.05010472613236
ALBAY,5,2402839.0,6.0,7.0,0.0,19277.0,105509.0,153159662.39,0.3023255813953488,0.011627906976744186,0.029069767441860465,0.03488372093023256,0.046511627906976744,25,4.166666666666667,246.73125853194898
ANTIQUE,6,905657.0,16.0,0.0,6.0,3657.0,27281.0,129842238.65,0.5380434782608695,0.40217391304347827,0.05434782608695652,0.10326086956521739,0.010869565217391304,26,4.333333333333333,529.6202848332321
APAYAO,CAR,180378.0,0.0,3.0,0.0,63.0,4940.0,14887503.98,0.6301369863013698,0.3698630136986301,0.136986301369863,0.0547945205479452,0.0136986301369863,24,4.0,301.59847615574733
AURORA,3,350627.0,3.0,29.0,0.0,882.0,6551.0,52230612.92,0.2235294117647059,0.011764705882352941,0.023529411764705882,0.011764705882352941,0.03529411764705882,28,4.666666666666667,510.0595982461109
BASILAN,BARMM,6568.0,0.0,0.0,0.0,34.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.5,0.0
BATAAN,3,2550429.0,0.0,5.0,0.0,61.0,123.0,33387179.33,0.08196721311475409,0.02459016393442623,0.00819672131147541,0.0,0.0,25,4.166666666666667,51.29284455833575
BATANES,2,109887.0,0.0,27.0,0.0,266.0,2608.0,25747146.79,0.39215686274509803,0.0784313725490196,0.0,0.0196078431372549,0.0,21,4.2,719.6161656278822
BATANGAS,4A,742760.0,7.0,5.0,1.0,6665.0,56952.0,93710674.17,0.04411764705882353,0.014705882352941176,0.0,0.0,0.0,21,3.5,471.4955027873933
BENGUET,CAR,315666.0,10.0,61.0,4.0,155.0,1085.0,34881390.54,0.30666666666666664,0.21333333333333335,0.12666666666666668,0.07333333333333333,0.0,28,4.666666666666667,420.60737890535506
BILIRAN,8,83234.0,0.0,10.0,0.0,83.0,1788.0,3395283.12,0.16,0.0,0.0,0.0,0.0,13,2.6,156.2342683600221
BOHOL,7,1432311.0,90.0,94.0,15.0,93635.0,206502.0,158069946.0,0.6753246753246753,0.012987012987012988,0.0,0.0,0.0,10,2.0,362.5440846601621
BUKIDNON,10,37403.0,3.0,6.0,0.0,80.0,120.0,547650.0,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.08333333333333333,10,2.0,52.704263304782984
BULACAN,3,6318463.0,8.0,17.0,0.0,48.0,335.0,170916144.16,0.15283842794759825,0.008733624454148471,0.008733624454148471,0.0,0.0,31,5.166666666666667,94.0314869325634
BUTUAN CITY,CARAGA,47267.0,0.0,0.0,0.0,29.0,29.0,3532435.0,0.4,0.0,0.0,0.0,0.0,5,1.6666666666666667,288.97537630890054
CAGAYAN,2,1394519.0,7.0,3.0,1.0,2382.0,42362.0,206898335.28,0.5318471337579618,0.07006369426751592,0.1464968152866242,0.10509554140127389,0.08917197452229299,31,5.166666666666667,501.4039794686868
CAMARINES NORTE,5,946202.0,2.0,12.0,0.0,2229.0,17096.0,61766701.9,0.3467741935483871,0.03225806451612903,0.0,0.008064516129032258,0.0,25,4.166666666666667,280.12744914850674
CAMARINES SUR,5,4072811.0,1.0,0.0,0.0,14222.0,61601.0,172591165.55,0.24539877300613497,0.03374233128834356,0.006134969325153374,0.015337423312883436,0.009202453987730062,25,4.166666666666667,176.57595512940532
CAMIGUIN,10,16349.0,1.0,1.0,0.0,18.0,59.0,1321762.74,0.2,0.06666666666666667,0.0,0.0,0.0,11,2.2,320.9720106847984
CAPIZ,6,1289443.0,23.0,0.0,1.0,665.0,6978.0,105142305.84,0.7692307692307693,0.6153846153846154,0.1076923076923077,0.1076923076923077,0.09230769230769231,13,2.1666666666666665,300.5869402784528
CATANDUANES,5,713679.0,10.0,20.0,1.0,21870.0,54224.0,40457145.63,0.15294117647058825,0.023529411764705882,0.0,0.0,0.0,19,3.1666666666666665,205.95271626306388
CAVITE,4A,1619078.0,1.0,0.0,0.0,507.0,2776.0,118066295.47,0.02097902097902098,0.0,0.0,0.0,0.0,23,3.8333333333333335,289.7602610059343
CEBU,7,2594151.0,58.0,362.0,11.0,127560.0,580822.0,108130582.5,0.46923076923076923,0.015384615384615385,0.0,0.0,0.0,18,3.0,127.26305577982774
COTABATO,12,503745.0,1.0,0.0,0.0,161.0,609.0,25287633.0,0.4230769230769231,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,17,3.4,219.7663341039056
COTABATO CITY,BARMM,485835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3,1.0,0.0
DAGUPAN,1,937838.0,0.0,0.0,0.0,23.0,437.0,74065983.96000001,0.25,0.0,0.08333333333333333,0.0,0.0,21,4.2,316.3225835052339
DAVAO CITY,11,1579.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.75,0.0
DAVAO DE ORO,11,17724.0,4.0,1.0,1.0,3.0,6.0,163800.0,0.0,0.07692307692307693,0.0,0.0,0.0,4,0.8,31.391337677270986
DAVAO DEL NORTE,11,69840.0,0.0,0.0,0.0,64.0,525.0,5907139.5,0.1,0.2,0.0,0.0,0.0,7,1.75,302.55785187461584
DAVAO DEL SUR,11,49.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2.3333333333333335,0.0
DAVAO OCCIDENTAL,11,32487.0,0.0,0.0,0.0,183.0,1082.0,1479133.3,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,15,3.75,194.49484549638396
DAVAO ORIENTAL,11,157140.0,1.0,0.0,0.0,165.0,654.0,7982124.15,0.19047619047619047,0.0,0.0,0.047619047619047616,0.0,16,4.0,214.87937518507553
DINAGAT ISLANDS,13,199643.0,3.0,122.0,0.0,16375.0,14308.0,124983473.58,0.02631578947368421,0.15789473684210525,0.0,0.0,0.0,13,2.6,2343.9821755030853
EASTERN SAMAR,8,1296740.0,7.0,201.0,1.0,3230.0,22037.0,51359932.85,0.2897196261682243,0.04672897196261682,0.009345794392523364,0.018691588785046728,0.028037383177570093,13,2.6,149.50900912308893
GUIMARAS,6,176308.0,2.0,0.0,0.0,780.0,12988.0,10186439.98,0.45,0.275,0.05,0.05,0.0,22,4.4,212.96732202964606
IFUGAO,CAR,12811.0,2.0,7.0,0.0,28.0,198.0,2190466.55,0.4642857142857143,0.4107142857142857,0.30357142857142855,0.125,0.0,16,2.6666666666666665,587.2564477211796
ILOCOS NORTE,1,547465.0,6.0,2.0,1.0,578.0,15282.0,23956650.21,0.24,0.022857142857142857,0.022857142857142857,0.011428571428571429,0.0,26,4.333333333333333,174.0479077184621
ILOCOS SUR,1,808805.0,20.0,0.0,4.0,2760.0,28197.0,84569627.11999999,0.0995850622406639,0.0,0.024896265560165973,0.016597510373443983,0.004149377593360996,24,4.8,386.7242256792968
ILOILO,6,2854799.0,17.0,0.0,0.0,5103.0,103453.0,216124652.9,0.6743421052631579,0.34210526315789475,0.049342105263157895,0.11513157894736842,0.009868421052631578,27,4.5,293.28460682497615
ISABELA,2,634840.0,0.0,0.0,0.0,412.0,8579.0,87559243.16,0.5591397849462365,0.021505376344086023,0.08602150537634409,0.15053763440860216,0.10215053763440861,27,5.4,515.7521538552159
ISABELA CITY,9,269.0,0.0,0.0,0.0,21.0,18.0,56116.5,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,8,2.0,935.275
KALINGA,CAR,27852.0,2.0,4.0,0.0,15.0,597.0,6266830.75,0.4418604651162791,0.37209302325581395,0.13953488372093023,0.13953488372093023,0.0,23,3.8333333333333335,971.1499690066636
LA UNION,1,1087313.0,3.0,1.0,5.0,3740.0,52972.0,178185593.58,0.23870967741935484,0.03225806451612903,0.05806451612903226,0.03225806451612903,0.01935483870967742,25,5.0,550.0404185213768
LAGUNA,4A,1710734.0,2.0,1.0,0.0,1880.0,20272.0,84942702.03999999,0.0091324200913242,0.0319634703196347,0.0319634703196347,0.0,0.0,20,3.3333333333333335,211.56023083092157
LANAO DEL NORTE,10,29258.0,0.0,1.0,0.0,121.0,1193.0,2952385.68,0.18181818181818182,0.0,0.022727272727272728,0.18181818181818182,0.18181818181818182,13,2.6,488.3204895798876
LANAO DEL SUR,BARMM,112751.0,0.0,0.0,0.0,113.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.8,0.0
LEYTE,8,1134022.0,155.0,22.0,1.0,17525.0,77914.0,65907285.73,0.30927835051546393,0.1134020618556701,0.10309278350515463,0.08247422680412371,0.05154639175257732,12,3.0,221.5192244323147
MAGUINDANAO,BARMM,1388101.0,65.0,164.0,13.0,1064.0,1187.0,0.0,0.25675675675675674,0.0,0.0945945945945946,0.06756756756756757,0.0945945945945946,11,2.2,0.0
MAGUINDANAO DEL NORTE,BARMM,112195.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
MAGUINDANAO DEL SUR,BARMM,388048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
MARINDUQUE,4B,261695.0,7.0,14.0,1.0,948.0,17987.0,21625183.4,0.2698412698412698,0.0,0.12698412698412698,0.12698412698412698,0.031746031746031744,16,2.6666666666666665,306.54452335388754
MASBATE,5,347778.0,3.0,0.0,0.0,778.0,7330.0,12508274.67,0.058823529411764705,0.032679738562091505,0.006535947712418301,0.006535947712418301,0.0,21,3.5,137.67748282921676
MISAMIS OCCIDENTAL,10,7031.0,1.0,1.0,0.0,9.0,47.0,339030.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,9,2.25,171.40040444893833
MISAMIS ORIENTAL,10,151704.0,5.0,25.0,0.0,522.0,4568.0,8142863.76,0.1346153846153846,0.0,0.07692307692307693,0.019230769230769232,0.09615384615384616,17,3.4,189.42619303510364
MISAMIS ORIENTAL,11,1090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
MISAMIS ORIENTAL,9,4791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
MOUNTAIN PROVINCE,CAR,24757.0,2.0,8.0,0.0,13.0,428.0,2044515.27,0.32926829268292684,0.08536585365853659,0.0975609756097561,0.07317073170731707,0.012195121951219513,29,4.833333333333333,319.2559759525297
NAGA,5,326252.0,0.0,0.0,0.0,121.0,3850.0,44475908.14,0.6,0.6,0.0,0.0,0.0,11,2.75,550.369481134994
NCR,NCR,2730661.0,0.0,0.0,0.0,20.0,0.0,378434130.36,0.2814814814814815,0.014814814814814815,0.0,0.0,0.0,22,3.6666666666666665,551.682202506254
NEGROS OCCIDENTAL,6,2803452.0,53.0,173.0,7.0,48543.0,285144.0,226606349.75,0.5173913043478261,0.24782608695652175,0.09565217391304348,0.1,0.004347826086956522,26,4.333333333333333,316.29538558062865
NEGROS ORIENTAL,6,503.0,0.0,0.0,0.0,0.0,0.0,306830.0,0.0,0.0,0.0,0.0,0.0,3,3.0,51138.333333333336
NEGROS ORIENTAL,7,534635.0,66.0,91.0,6.0,24412.0,109147.0,65148888.0,0.5094339622641509,0.0,0.0,0.0,0.0,12,2.4,416.8381693357988
NORTHERN SAMAR,8,1218796.0,1.0,74.0,0.0,5293.0,43178.0,49610127.92,0.3125,0.017857142857142856,0.044642857142857144,0.0625,0.07142857142857142,11,2.2,161.17440942937714
NUEVA ECIJA,3,1417983.0,0.0,26.0,0.0,42.0,237.0,66205636.41,0.125,0.0,0.011904761904761904,0.005952380952380952,0.0,18,3.0,175.2765570619584
NUEVA VIZCAYA,2,58666.0,2.0,1.0,1.0,564.0,5132.0,11205706.89,0.3090909090909091,0.01818181818181818,0.0,0.02727272727272727,0.00909090909090909,26,4.333333333333333,681.2808177285992
OCCIDENTAL MINDORO,4B,519557.0,4.0,0.0,3.0,1855.0,5888.0,47571128.160000004,0.4368932038834951,0.009708737864077669,0.04854368932038835,0.04854368932038835,0.009708737864077669,26,4.333333333333333,400.8521437539499
OLONGAPO,3,3468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,0.0
ORIENTAL MINDORO,4B,665560.0,2.0,4.0,0.0,3690.0,36518.0,65266452.53,0.4049586776859504,0.04132231404958678,0.06611570247933884,0.049586776859504134,0.06611570247933884,24,4.0,424.66850066368227
PALAWAN,4B,699143.0,29.0,3.0,4.0,15660.0,75300.0,477540047.94,0.4634146341463415,0.06504065040650407,0.06504065040650407,0.07317073170731707,0.07317073170731707,26,4.333333333333333,2463.9216561324574
PAMPANGA,3,4273937.0,2.0,1.0,0.0,56.0,123.0,60340166.07,0.14594594594594595,0.010810810810810811,0.032432432432432434,0.005405405405405406,0.0,29,4.833333333333333,49.5097579821342
