Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Type,Category
AGATON,2022,8,LEYTE,ABUYOG,18957.0,68354.0,63.0,55.0,0.0,0.0,142.0,326.0,468.0,22690.0,13172269.32,"['BLANKET', 'BUTANE GAS STOVE', 'CANISTER', 'FAMILY FOOD PACK', 'FAMILY KIT', 'HYGIENE KIT', 'KITCHEN KIT', 'SLEEPING KIT']","['FAMILY FOOD PACK', 'HYGIENE KIT', 'KITCHEN KIT', 'OTHERS', 'SLEEPING KIT']"
AGATON,2022,6,ILOILO,AJUY,17414.0,61983.0,34.0,1.0,0.0,0.0,236.0,856.0,1092.0,4800.0,2948690,"['FAMILY FOOD PACK', 'FINANCIAL', 'HYGIENE KIT', 'SLEEPING KIT']","['FAMILY FOOD PACK', 'FINANCIAL / SOCIAL ASSISTANCE', 'HYGIENE KIT', 'SLEEPING KIT']"
AGATON,2022,8,LEYTE,ALANGALANG,1323.0,5444.0,4.0,,,,,,,228.0,46740,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,8,LEYTE,ALBUERA,203.0,1008.0,0.0,,,,5.0,0.0,5.0,,,,
AGATON,2022,6,ILOILO,ALIMODIAN,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,8,BILIRAN,ALMERIA,125.0,488.0,11.0,,,,,,,,,,
AGATON,2022,6,AKLAN,ALTAVAS,995.0,3833.0,12.0,,,,,,,0.0,27986,['FINANCIAL'],['FINANCIAL / SOCIAL ASSISTANCE']
AGATON,2022,Barmm,MAGUINDANAO,AMPATUAN,2439.0,0.0,7.0,,,,,,,150.0,0,['RICE'],['FAMILY FOOD PACK']
AGATON,2022,6,ILOILO,ANILAO,8358.0,33008.0,21.0,,,,,,,,,,
AGATON,2022,6,ANTIQUE,ANINI Y,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,8,EASTERN SAMAR,ARTECHE,1193.0,4900.0,10.0,,,,,,,1193.0,745625,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,7,CEBU,ASTURIAS,258.0,1055.0,6.0,,,,,,,,,,
AGATON,2022,11,DAVAO DEL NORTE,ASUNCION,9110.0,21761.0,9.0,,,,,,,7307.0,4227099.5,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,8,LEYTE,BABATNGON,329.0,329.0,5.0,,,,,,,,,,
AGATON,2022,6,NEGROS OCCIDENTAL,BACOLOD CITY,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,6,ILOILO,BADIANGAN,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,11,DAVAO ORIENTAL,BAGANGA,27.0,119.0,1.0,,,,,,,,,,
AGATON,2022,6,NEGROS OCCIDENTAL,BAGO CITY,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,7,CEBU,BALAMBAN,42.0,192.0,2.0,,,,,,,,,,
AGATON,2022,8,EASTERN SAMAR,BALANGIGA,4336.0,21680.0,1.0,,,,,,,,,,
AGATON,2022,6,ILOILO,BALASAN,11020.0,38497.0,23.0,,,,1.0,0.0,1.0,2600.0,1486000,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,6,AKLAN,BALETE,235.0,656.0,2.0,,,,,,,,,,
AGATON,2022,6,ILOILO,BANATE,10406.0,38222.0,18.0,,,,,,,3337.0,2451182,"['FAMILY FOOD PACK', 'FINANCIAL', 'MODULAR TENT']","['FAMILY FOOD PACK', 'FINANCIAL / SOCIAL ASSISTANCE', 'SHELTER KIT']"
AGATON,2022,6,AKLAN,BANGAR,748.0,2853.0,19.0,,,,1.0,2.0,3.0,,,,
AGATON,2022,7,CEBU,BANTAYAN,288.0,1080.0,1.0,,,,,,,,,,
AGATON,2022,6,ANTIQUE,BARBAZA,5.0,29.0,3.0,,,,0.0,2.0,2.0,0.0,150,['FINANCIAL'],['FINANCIAL / SOCIAL ASSISTANCE']
AGATON,2022,Caraga,SURIGAO DEL SUR,BAROBO,53.0,265.0,2.0,,,,,,,,,,
AGATON,2022,6,ILOILO,BAROTAC NUEVO,5307.0,23937.0,25.0,,,,61.0,5246.0,5307.0,2000.0,987000,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,6,ILOILO,BAROTAC VIEJO,9859.0,35092.0,26.0,,,,11.0,151.0,162.0,1894.0,769990,"['FAMILY FOOD PACK', 'WATER']",['FAMILY FOOD PACK']
AGATON,2022,8,LEYTE,BARUGO,372.0,1860.0,9.0,,,,2.0,0.0,2.0,,,,
AGATON,2022,13,DINAGAT ISLANDS,BASILISA,68.0,243.0,4.0,,,,,,,,,,
AGATON,2022,6,ILOILO,BATAD,6927.0,24738.0,10.0,,,,1.0,5.0,6.0,1000.0,486000,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,6,AKLAN,BATAN,253.0,935.0,2.0,,,,,,,,,,
AGATON,2022,8,LEYTE,BATO,2331.0,11655.0,18.0,,,,0.0,9.0,9.0,,,,
AGATON,2022,8,LEYTE,BAYBAY,4184.0,20917.0,48.0,95.0,0.0,1.0,190.0,14.0,204.0,7491.0,4035845,"['BLANKET', 'BUTANE GAS STOVE', 'CANISTER', 'FAMILY FOOD PACK', 'FAMILY KIT', 'FINANCIAL', 'HYGIENE KIT', 'KITCHEN SET', 'MALONG', 'SAKO LINE', 'SHELTER REPAIR KIT', 'SLEEPING KIT']","['CLOTHING KIT', 'FAMILY FOOD PACK', 'FINANCIAL / SOCIAL ASSISTANCE', 'HYGIENE KIT', 'KITCHEN KIT', 'OTHERS', 'SHELTER KIT', 'SLEEPING KIT']"
AGATON,2022,6,ANTIQUE,BELISON,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,6,NEGROS OCCIDENTAL,BINALBAGAN,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,6,ILOILO,BINGAWAN,4501.0,17494.0,14.0,,,,2.0,11.0,13.0,1600.0,1000000,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,8,SOUTHERN LEYTE,BONTOC,397.0,1985.0,9.0,,,,5.0,0.0,5.0,,,,
AGATON,2022,6,GUIMARAS,BUENAVISTA,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,6,ANTIQUE,BUGASONG,40.0,121.0,8.0,,,,1.0,0.0,1.0,,,,
AGATON,2022,Caraga,AGUSAN DEL SUR,BUNAWAN,1539.0,5367.0,9.0,,,,1.0,1.0,2.0,0.0,1202747,"['FOOD, NFI']",['OTHERS']
AGATON,2022,6,AKLAN,BURUANGA,920.0,3777.0,8.0,,,,,,,,,,
AGATON,2022,10,BUKIDNON,CABANGLASAN,73.0,365.0,1.0,,,,,,,,,,
AGATON,2022,6,ILOILO,CABATUAN,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,8,BILIRAN,CABUCGAYAN,102.0,392.0,4.0,,,,,,,,,,
AGATON,2022,6,NEGROS OCCIDENTAL,CADIZ CITY,1857.0,6200.0,13.0,,,,,,,828.0,402408,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
AGATON,2022,10,MISAMIS ORIENTAL,CAGAYAN DE ORO,,,,,,,0.0,3.0,3.0,,,,
AGATON,2022,8,BILIRAN,CAIBIRAN,6513.0,24167.0,17.0,,,,4.0,19.0,23.0,,,,
AGATON,2022,10,MISAMIS OCCIDENTAL,CALAMBA,6.0,30.0,1.0,,,,,,,,,,
AGATON,2022,6,NEGROS OCCIDENTAL,CALATRAVA,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,6,ILOILO,CALINOG,15.0,75.0,5.0,,,,2.0,13.0,15.0,,,,
AGATON,2022,6,ANTIQUE,CALUYA,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,8,EASTERN SAMAR,CAN AVID,120.0,600.0,1.0,,,,,,,,,,
AGATON,2022,6,NEGROS OCCIDENTAL,CANDON,0.0,0.0,0.0,,,,,,,,,,
AGATON,2022,8,LEYTE,CAPOOCAN,6726.0,24719.0,1.0,,,,,,,,,,
AGATON,2022,11,DAVAO ORIENTAL,CARAGA,675.0,2089.0,5.0,,,,,,,,,,
AGATON,2022,8,LEYTE,CARIGARA,106.0,399.0,6.0,,,,,,,,,,
AGATON,2022,6,ILOILO,CARLES,20648.0,78182.0,33.0,,,,,,,1700.0,1062500,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
